,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD,percentage,change,Sentiment_1,Sentiment_total,Sentiment_component
1439,2018/1/11 04:00,ETHUSD,1181.32,1235.84,1122,1190,12856.41,14989743.91,0.007347713,1,-0.212223157,-0.148213791,0.4404
1440,2018/1/11 05:00,ETHUSD,1190,1246.43,1145.46,1152.64,6439.64,7739416.48,-0.031394958,-1,0.370468337,0.180684464,-0.2271
1441,2018/1/11 06:00,ETHUSD,1152.64,1213.72,1152.63,1192.29,2538.78,3003295.18,0.034399292,1,1,0.734289124,0.2381
1442,2018/1/11 07:00,ETHUSD,1192.29,1237.47,1186,1234,1701.25,2073567.22,0.0349831,1,1,0.607589292,1.084
1443,2018/1/11 08:00,ETHUSD,1234,1249.4,1225,1243.5,2583.05,3192940.01,0.007698541,1,0,0,0.836
1444,2018/1/11 09:00,ETHUSD,1243.5,1243.89,1205.55,1227.56,1787.93,2195098.86,-0.012818657,-1,-1,-0.241533416,0
1445,2018/1/11 10:00,ETHUSD,1227.56,1229.17,1174.27,1181.9,3858.29,4632917.37,-0.037195738,-1,0,0,-0.2732
1446,2018/1/11 11:00,ETHUSD,1181.9,1194.51,1146.34,1193.19,5413.6,6321476.51,0.009552416,1,1,0.582550759,0
1447,2018/1/11 12:00,ETHUSD,1193.19,1208.22,1184.98,1205.87,4972.88,5956358.51,0.010626975,1,-0.068899036,-0.045494363,0.7906
1448,2018/1/11 13:00,ETHUSD,1205.87,1208.63,1166,1194,3647.91,4313002.82,-0.009843515,-1,-1,-0.499926443,-0.0679
1449,2018/1/11 14:00,ETHUSD,1194,1215.04,1171,1198.35,7062.46,8446340.98,0.003643216,1,0,0,-0.6486
1450,2018/1/11 15:00,ETHUSD,1198.35,1232.9,1174.01,1218.32,8954.01,10854738.22,0.01666458,1,0.580318725,0.669921527,0
1451,2018/1/11 16:00,ETHUSD,1218.32,1245.51,1210.11,1220.65,2587.29,3180454.81,0.00191247,1,-1,-0.542440563,1.4566
1452,2018/1/11 17:00,ETHUSD,1220.65,1232.51,1206.67,1211.45,3129.97,3812536.23,-0.007536968,-1,1,1.091721938,-0.7202
1453,2018/1/11 18:00,ETHUSD,1211.45,1230,1208.07,1220,2799.39,3411126.84,0.007057658,1,1,1.159268283,1.9794
1454,2018/1/11 19:00,ETHUSD,1220,1224.63,1154.56,1175.42,1860.62,2208524.59,-0.036540984,-1,0.437862788,0.369221626,2.1876
1455,2018/1/11 20:00,ETHUSD,1175.42,1193,1144.23,1185.6,3743.75,4371498.14,0.008660734,1,1,1.119851792,0.6261
1456,2018/1/11 21:00,ETHUSD,1185.6,1185.6,1157.63,1174.96,1097.82,1284439.58,-0.008974359,-1,1,1.022307032,2.0644
1457,2018/1/11 22:00,ETHUSD,1174.96,1179.99,1102,1131.96,2847.24,3234017.74,-0.036596991,-1,0,0,1.7796
1458,2018/1/11 23:00,ETHUSD,1131.96,1145.55,1100,1135,3399.47,3805551.88,0.002685607,1,0.595921653,0.818444538,0
1459,2018/1/12 00:00,ETHUSD,1135,1141.02,1080.59,1120.48,2667.89,2953307.93,-0.012792952,-1,1,0.932164081,2.221
1460,2018/1/12 01:00,ETHUSD,1120.48,1177.92,1117.16,1173.43,1825.12,2082941.09,0.047256533,1,0.478772885,0.490899585,1.54
1461,2018/1/12 02:00,ETHUSD,1173.43,1186.88,1157.68,1174.97,1617.23,1898803.34,0.001312392,1,-0.345307115,-0.386098371,0.9676
1462,2018/1/12 03:00,ETHUSD,1174.97,1213.57,1165.99,1205,1754.5,2083718.87,0.025558099,1,0.569413208,0.705086894,-0.8517
1463,2018/1/12 04:00,ETHUSD,1205,1212.65,1181.8,1210,783.86,938220.61,0.004149378,1,0,0,1.671
1464,2018/1/12 05:00,ETHUSD,1210,1222.12,1194.04,1210,1313.6,1592292.14,0,0,1,0.450055991,0
1465,2018/1/12 06:00,ETHUSD,1210,1224.22,1205.22,1215.12,906.95,1102971,0.004231405,1,-1,-0.097761718,0.5684
1466,2018/1/12 07:00,ETHUSD,1215.12,1221.97,1200.61,1206.77,943.64,1146297.97,-0.006871749,-1,1,1.0758212,-0.1027
1467,2018/1/12 08:00,ETHUSD,1206.77,1209.9,1188.23,1191.51,2290.5,2738940.55,-0.012645326,-1,1,0.558758278,1.9324
